"%d Review(s)","%d comentarii"
"%s Review(s)","%d comentarii"
"(Posted on %s)","(Postat în %s)"
"1 star","o stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Review","Adaugă un nou comentariu"
"Add Your Review","Adaugă comentariu"
"Administrator","Administrator"
"All Reviews","Toate comentariile"
"All reviews of customer `%s`","Toate comentariile vizitatorului `%s`"
"Allow guests to write reviews","Permite vizitatorilor să scrie comentarii"
"Are you sure you want to do this?","Sunteţi sigur că vreţi să faceţi asta?"
"Are you sure?","Sunteţi sigur?"
"Average Customer Rating","Medie note vizitatori"
"Average Customer Rating:","Medie note vizitatori:"
"Back","Înapoi"
"Back to Main Product Info","Înapoi la informaţiile de bază ale materialului"
"Back to My Reviews","Înapoi la comentariile mele"
"Back to Product Reviews","Înapoi la comentarii materiale"
"Be the first to review this product","Fii primul care scrie un comentariu acestui material"
"Created On","Creat în"
"Customer","Client"
"Customer Reviews","Comentarii"
"Delete","Şterge"
"Delete Review","Şterge comentariu"
"Detailed Rating","Notă detaliată"
"Edit Review '%s'","Editează comentariul '%s'"
"Guest","Vizitator neînregistrat"
"How do you rate this product?","Cum notaţi acest material?"
"ID","ID"
"Manage Ratings","Administrare note"
"My Product Reviews","Comentariile mele"
"My Recent Reviews","Coentariile mele recente"
"Name","Nume"
"Name In Store","Nume în magazin"
"New Review","Comentariu nou"
"Nickname","Pseudonim"
"Pending Reviews","Coentarii nepublicate încă"
"Pending reviews","Comentarii nepublicate încă"
"Pending reviews of customer `%s`","Comentarii încă nepublicate ale clientului `%s`"
"Please select a product","Alegeţi un material"
"Please select one of each of the ratings above","Selectaţi una din notele de mai sus"
"Posted By","Postat de"
"Price","Preţ"
"Product","Material"
"Product Name","Nume material"
"Product Rating","Notă material"
"Product Rating:","Notă material:"
"Product Review (submitted on %s):","Comentariu material (postat in %s):"
"Product Reviews","Comentarii materiale"
"Product SKU","Cod intern material"
"Qty","Cantitate"
"Rating:","Nota:"
"Review","Comentariu"
"Review (submitted on %s):","Comentariu (postat in %s):"
"Review Details","Detalii comentariu"
"Review by <span>%s</span>"," - adaugat de <span>%s</span>"
"Reviews and Ratings","Comentarii şi note"
"SKU","Cod intern"
"Save Review","Salvează comentariu"
"Status","Situaţie"
"Submit Review","Trimite comentariu"
"Summary Rating","Sumar note"
"Summary of Review","Titlu"
"Summary of Your Review","Titlu"
"Summary of review","Titlu"
"Title","Titlu"
"Type","Tip"
"Unable to post review. Please, try again later.","Comentariul nu poate fi trimis. Încercaţi mai târziu."
"Update status","Actualizare situaţie"
"View All Reviews","Vezi toate comentariile"
"View Details","Vezi detalii"
"Visible In","Vizibil în"
"Websites","Website-uri"
"Write Your Own Review","Scrie un comentariu"
"You have submitted no reviews.","Nu aţi adaugat niciun comentariu."
"You're reviewing: %s","Scrieţi un comentariu despre: %s"
"Your Rating:","Nota d-voastră:"
"Your Review (submitted on %s):","Comentariul d-voastră (postat in %s):"
"Your review has been accepted for moderation.","Comentariul d-voastră a fost trimis pentru moderare."